length	frequency
60	123745
65	107049
50	157795
83	93673
105	71590
140	70551
84	92926
38	141955
139	68332
88	75264
153	78773
96	78548
64	112331
54	147226
41	158852
72	98108
165	92636
44	139055
138	73379
77	85856
176	54132
160	81561
144	90038
114	64786
175	58162
48	148468
59	123974
42	158157
89	74727
86	81760
122	59700
159	80769
104	72266
117	58214
46	140462
126	67399
184	27533
63	115527
106	70231
107	68449
158	79782
58	124764
92	77704
115	65193
53	158272
55	137937
62	119668
142	80233
74	96753
49	152783
70	97785
172	65539
90	74569
141	75163
162	85795
43	149025
57	127682
35	144247
147	82963
34	9099
39	144683
36	142371
171	74179
145	88737
150	77267
155	83577
111	63327
116	61948
109	64976
299	1006
102	73450
100	70842
183	29426
130	58591
82	89725
94	83840
47	143001
136	78651
164	90195
69	97373
146	86780
37	140687
166	95072
152	76348
186	23305
149	79346
125	69947
129	56438
161	84764
163	85718
133	63785
201	8290
110	64184
167	92626
85	86627
227	2311
154	78028
75	91129
209	5339
97	73600
120	58939
132	62468
68	99510
61	121349
123	63080
108	67308
99	71690
101	71336
156	83517
112	65357
208	6012
98	72381
181	34368
157	80818
71	96376
91	76875
87	76995
66	102109
148	81370
78	85112
67	101534
103	73469
73	99115
56	132510
195	12706
81	86577
40	153581
281	1239
118	57737
291	1029
124	67875
191	16159
113	65145
134	69425
137	76008
76	89283
79	83778
355	631
131	57899
95	84854
127	65513
182	31684
52	160866
93	82412
168	89974
45	136781
219	3147
207	5906
382	564
151	76129
170	79965
189	19841
370	565
128	59535
173	62900
426	467
188	21080
180	39484
121	57902
349	689
682	105
179	43039
194	13356
51	160374
143	84921
177	52362
577	160
212	4423
217	3485
203	7229
326	906
26	2153
420	469
169	85997
193	14260
178	47911
675	81
474	313
427	490
550	150
174	59650
197	11104
192	14851
119	58778
80	85843
547	137
248	1404
391	573
202	7905
220	3376
439	504
135	74754
196	11940
296	1108
190	18276
241	1576
204	7199
461	443
423	490
491	376
198	10288
511	161
238	1788
635	126
234	1996
570	137
294	1126
211	4786
421	474
400	484
187	22611
303	1218
244	1475
551	169
283	1059
199	9583
239	1789
261	1273
345	763
323	936
411	527
334	841
268	1284
685	85
205	6505
559	139
33	7577
210	5324
255	1291
352	666
229	2244
269	1169
495	344
224	2825
206	6479
585	137
233	2121
619	109
214	3966
218	3257
655	107
446	503
526	130
340	677
609	135
254	1372
232	2012
378	622
407	531
262	1217
648	122
698	92
663	91
319	983
603	125
264	1283
548	171
488	359
216	3698
267	1216
403	484
185	24469
537	169
374	681
399	603
242	1524
278	1033
343	703
284	1071
287	1093
231	2221
473	354
292	1014
240	1680
615	132
503	200
487	344
664	109
464	473
302	1087
500	385
223	2834
478	348
316	971
200	8663
479	345
308	1128
236	1799
245	1695
270	1024
540	145
282	1057
235	1902
32	6764
413	494
237	1757
301	1018
31	5268
307	1001
680	110
377	588
335	910
225	2595
321	1048
342	792
367	608
344	757
529	154
325	843
448	468
650	125
558	174
492	349
447	481
628	122
396	518
387	571
582	131
280	1023
566	149
285	1019
513	175
418	479
246	1510
590	133
350	662
408	469
614	109
300	1160
295	1069
272	1151
260	1315
593	167
215	3765
27	2552
415	504
213	4299
545	175
358	605
431	484
222	2704
536	143
618	141
290	1104
273	1210
263	1347
298	1102
647	98
277	1149
314	1058
402	533
221	2898
437	492
226	2353
440	441
30	5161
228	2386
508	164
312	1107
649	109
329	1127
471	329
293	1002
243	1502
322	990
450	431
371	543
516	140
623	135
324	935
580	132
386	486
230	2168
542	164
419	506
318	969
390	535
469	434
596	132
333	823
525	163
417	504
568	140
404	524
463	428
393	536
557	156
363	588
361	556
259	1274
657	98
341	748
249	1450
541	168
331	969
443	492
597	115
689	84
515	163
466	449
434	510
630	114
686	92
613	136
676	109
555	139
530	160
274	1261
362	543
644	123
395	533
642	114
364	661
257	1305
456	439
641	129
634	136
313	1148
683	77
522	179
250	1392
477	326
368	584
489	366
28	2944
459	408
645	116
289	1065
256	1521
532	162
449	452
549	153
416	446
286	1039
438	532
309	1033
625	126
687	107
406	546
276	1077
320	909
29	4565
251	1441
457	428
476	327
401	563
684	81
562	166
458	421
252	1459
638	144
496	351
444	444
338	904
454	431
265	1066
247	1405
621	124
410	496
442	470
436	487
627	108
480	374
337	838
271	1209
643	107
505	171
472	337
425	506
571	152
357	581
351	654
348	693
315	1150
432	490
528	150
485	307
556	151
633	129
389	555
564	143
544	152
604	137
502	172
397	573
659	109
460	406
617	109
579	157
688	95
607	125
430	462
507	172
674	105
429	495
583	144
499	338
409	513
304	1064
592	145
520	157
384	529
379	587
388	545
563	155
392	505
346	664
330	883
565	160
501	148
574	147
493	357
339	906
288	1158
306	1056
310	1064
611	132
462	440
690	91
305	1047
631	115
452	431
569	166
561	142
605	131
347	830
394	507
679	101
531	157
433	492
510	141
275	1167
311	1015
673	112
595	124
332	887
297	1187
376	640
624	136
253	1374
483	361
451	406
258	1150
372	539
279	1196
385	541
514	157
527	153
481	335
586	123
412	547
356	549
414	554
524	151
584	146
610	133
336	835
578	166
573	157
575	142
521	142
266	1149
632	105
670	94
543	160
667	104
636	121
445	508
695	83
662	119
539	145
694	94
405	498
327	947
360	592
677	115
517	161
518	162
25	1600
328	889
512	186
435	453
317	990
441	447
465	407
678	104
486	324
640	129
681	100
373	626
354	635
601	127
353	741
380	604
700	72
576	120
359	624
602	122
588	131
626	129
424	549
369	583
482	313
656	115
453	453
475	349
622	128
506	171
375	585
651	125
497	316
534	166
490	340
366	532
467	405
666	123
639	126
398	547
665	127
428	488
494	353
599	155
606	123
383	546
422	513
658	106
365	597
552	172
468	428
381	537
600	107
699	64
612	150
484	335
589	103
653	110
629	148
535	127
509	190
616	107
533	145
519	184
598	129
523	158
581	133
567	136
553	166
637	137
660	95
671	106
572	135
652	105
691	104
608	137
620	124
455	419
654	141
538	156
668	98
587	115
692	82
554	149
661	99
696	71
672	95
591	154
504	175
697	73
669	120
498	353
546	161
594	149
560	150
646	121
470	329
24	366
693	77
